顧問,發布日,週起始日,月份,貼文種類,寫法類型,寫法公式,職缺／話題,備註,瀏覽,按讚,留言,網址
法蘭克,2026-09-07,2026-09-07,2026-09,📋 職缺文,對話討論型,身份切割,資深職業安全衛生工程師,已下架，沿用合併後的職缺,9313,122,12,https://www.threads.com/@franklee1369_/post/Dc-noIwjr9H
EYLISE,2026-08-24,2026-08-24,2026-08,📋 職缺文,原始格式,—,BIM 工程師（無經驗可・正職）,,7478,21,11,https://www.threads.com/@step1ne.jobs/post/Dca0N96jQsi
DR,2026-08-31,2026-08-31,2026-08,📋 職缺文,原始格式,—,主管特助（日本長野白馬渡假勝地・常駐）,,6341,28,5,https://www.threads.com/@step1ne_tw/post/DcsYA1CjgbD
DR,2026-08-31,2026-08-31,2026-08,📋 職缺文,原始格式,—,日本項目財務會計（Finance & Accounting／Project Controller）,,3934,21,3,https://www.threads.com/@step1ne_tw/post/Dcs2emHkVwA
DR,2026-09-02,2026-08-31,2026-09,📋 職缺文,原始格式,—,主管特助（日本長野白馬渡假勝地・常駐）,,3907,17,2,https://www.threads.com/@step1ne_tw/post/DcxYyfcDSFm
DR,2026-09-01,2026-08-31,2026-09,📋 職缺文,原始格式,—,VIP貴賓接待服務員（晚班）,,2891,10,8,https://www.threads.com/@step1ne_tw/post/DcvVWbrgJLG
DR,2026-08-28,2026-08-24,2026-08,📋 職缺文,原始格式,—,BIM 工程師,,2613,9,3,https://www.threads.com/@step1ne_tw/post/DclKFNVjeU0
EYLISE,2026-08-26,2026-08-24,2026-08,📋 職缺文,原始格式,—,財務會計專員｜投資帳務・國營保險集團財務部（15個月專案）,,2547,7,7,https://www.threads.com/@step1ne.jobs/post/DcftEC2APs2
Jacky,2026-08-21,2026-08-17,2026-08,📋 職缺文,原始格式,—,BIM 工程師（無經驗可・正職）,,2296,10,2,https://www.threads.com/@step1ne_jacky/post/DcTbvSAjluf
DR,2026-08-24,2026-08-24,2026-08,📋 職缺文,原始格式,—,資深職業安全衛生工程師,,2227,12,2,https://www.threads.com/@step1ne_tw/post/Dca-6bgDaLe
Bob,2026-09-02,2026-08-31,2026-09,📋 職缺文,未標記（顧問自己發的）,—,BIM 工程師,,2030,16,0,https://www.threads.com/@bobchang_share/post/Dcu8zNaE2JV
Bob,2026-09-04,2026-08-31,2026-09,📋 職缺文,對話討論型,數字反直覺,BIM 工程師,,1944,8,8,https://www.threads.com/@bobchang_share/post/Dc2lfkbjNaU
DR,2026-08-27,2026-08-24,2026-08,📋 職缺文,原始格式,—,日本白馬渡假村物業經理／資產營運經理,,1884,13,3,https://www.threads.com/@step1ne_tw/post/DcimN6zkXa5
